UTC,Open,High,Low,Close,Volume
23.11.2025 00:00:00 UTC,156.27,156.707,156.27,156.687,4552.21
24.11.2025 00:00:00 UTC,156.686,157.186,156.499,156.908,116647.34
25.11.2025 00:00:00 UTC,156.904,156.983,155.801,156.198,137613.22
26.11.2025 00:00:00 UTC,156.198,156.734,155.651,156.22,142500.8
27.11.2025 00:00:00 UTC,156.219,156.404,155.72,156.289,76529.6
28.11.2025 00:00:00 UTC,156.291,156.582,155.981,156.137,354293.66
30.11.2025 00:00:00 UTC,156.055,156.151,155.905,155.909,6177.06
01.12.2025 00:00:00 UTC,155.907,155.991,154.662,155.561,171503.43
02.12.2025 00:00:00 UTC,155.56,156.18,155.46,155.764,128436.47
03.12.2025 00:00:00 UTC,155.764,155.812,155.009,155.112,118482.05
04.12.2025 00:00:00 UTC,155.114,155.541,154.507,155.133,142923.28
05.12.2025 00:00:00 UTC,155.132,155.492,154.343,155.298,122001.63
07.12.2025 00:00:00 UTC,155.159,155.381,155.149,155.313,5274.97
08.12.2025 00:00:00 UTC,155.31,155.983,154.9,155.845,114462.44
09.12.2025 00:00:00 UTC,155.846,156.953,155.744,156.805,142731.51
10.12.2025 00:00:00 UTC,156.805,156.936,155.626,155.751,134246.77
11.12.2025 00:00:00 UTC,155.749,156.163,154.948,155.505,154772.92
12.12.2025 00:00:00 UTC,155.502,156.127,155.459,155.8,128527.67
14.12.2025 00:00:00 UTC,155.816,155.909,155.749,155.867,3546.02
15.12.2025 00:00:00 UTC,155.869,155.986,154.835,155.034,105633.03
16.12.2025 00:00:00 UTC,155.034,155.12,154.393,154.772,156064.54
17.12.2025 00:00:00 UTC,154.771,155.749,154.512,155.489,123644.33
18.12.2025 00:00:00 UTC,155.488,155.974,155.282,155.575,120461.67
19.12.2025 00:00:00 UTC,155.579,157.778,155.556,157.737,186577.75
21.12.2025 00:00:00 UTC,157.659,157.703,157.318,157.623,10638.93
22.12.2025 00:00:00 UTC,157.623,157.659,156.706,156.92,121038.71
23.12.2025 00:00:00 UTC,156.92,156.927,155.651,156.169,155203.99
24.12.2025 00:00:00 UTC,156.169,156.279,155.552,155.884,147321.01
25.12.2025 00:00:00 UTC,155.88,156.129,155.464,156.102,15472.58
26.12.2025 00:00:00 UTC,156.103,156.732,155.987,156.561,128778.9
28.12.2025 00:00:00 UTC,156.389,156.549,156.389,156.484,6307.07
29.12.2025 00:00:00 UTC,156.485,156.51,155.915,155.99,136000.49
30.12.2025 00:00:00 UTC,155.994,156.564,155.742,156.4,105883.26
31.12.2025 00:00:00 UTC,156.394,156.994,156.329,156.658,87568.04
01.01.2026 00:00:00 UTC,156.501,156.879,156.497,156.722,3520.54
02.01.2026 00:00:00 UTC,156.72,156.999,156.517,156.84,85139.13
04.01.2026 00:00:00 UTC,156.699,157.015,156.699,156.998,6269.83
05.01.2026 00:00:00 UTC,156.998,157.296,156.116,156.614,154793.69
06.01.2026 00:00:00 UTC,156.615,156.797,156.163,156.666,134888.56
07.01.2026 00:00:00 UTC,156.663,156.806,156.295,156.697,12172
08.01.2026 00:00:00 UTC,156.694,157.07,156.457,156.866,97298.11
09.01.2026 00:00:00 UTC,156.868,158.185,156.867,157.859,136706.77
11.01.2026 00:00:00 UTC,158.063,158.181,157.983,158.138,2910.98
