商品名,商品タイプ,取引日,当日清算価格
USD/JPY,"U.S. Dollar-Japanese Yen",2025/05/26,142.83
USD/JPY,"U.S. Dollar-Japanese Yen",2025/05/27,144.35
USD/JPY,"U.S. Dollar-Japanese Yen",2025/05/28,144.885
USD/JPY,"U.S. Dollar-Japanese Yen",2025/05/29,144.15
USD/JPY,"U.S. Dollar-Japanese Yen",2025/05/30,143.88
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/02,142.67
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/03,144.005
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/04,142.785
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/05,143.61
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/06,144.79
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/09,144.64
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/10,144.915
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/11,144.575
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/12,143.535
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/13,143.93
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/16,144.735
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/17,145.24
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/18,145.15
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/19,145.455
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/20,146.175
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/23,146.14
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/24,144.89
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/25,145.28
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/26,144.42
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/27,144.77
USD/JPY,"U.S. Dollar-Japanese Yen",2025/06/30,144
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/01,143.41
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/02,143.695
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/03,144.915
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/04,144.585
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/07,146.065
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/08,146.585
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/09,146.365
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/10,146.245
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/11,147.39
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/14,147.76
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/15,148.885
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/16,147.9
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/17,148.615
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/18,148.76
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/21,147.39
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/22,146.67
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/23,146.51
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/24,147.015
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/25,147.625
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/28,148.565
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/29,148.455
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/30,149.515
USD/JPY,"U.S. Dollar-Japanese Yen",2025/07/31,150.8
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/01,147.445
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/04,147.06
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/05,147.575
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/06,147.37
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/07,147.14
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/08,147.745
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/11,148.155
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/12,147.875
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/13,147.4
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/14,147.76
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/15,147.255
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/18,147.895
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/19,147.665
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/20,147.34
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/21,148.365
USD/JPY,"U.S. Dollar-Japanese Yen",2025/08/22,146.96
